ID do Caso;CKV_FINOPS_01;CKV_FINOPS_02;CKV_FINOPS_03;CKV_FINOPS_04A;CKV_FINOPS_04B;Veredito LLM
C001;Aprovado;Aprovado;Aprovado;Aprovado;Aprovado;Aprovado
NC001;Aprovado;Aprovado;Falhou;Aprovado;Aprovado;Falhou
C002;Aprovado;Aprovado;Aprovado;Aprovado;Aprovado;Aprovado
NC002;Falhou;Aprovado;Aprovado;Aprovado;Aprovado;Falhou
C003;Aprovado;Aprovado;Aprovado;Aprovado;Aprovado;Aprovado
NC003;Falhou;Falhou;Aprovado;Aprovado;Aprovado;Falhou
C004;Aprovado;Aprovado;Aprovado;Aprovado;Aprovado;Aprovado
NC004;Aprovado;Aprovado;Aprovado;Aprovado;Falhou;Falhou
C005;Aprovado;Aprovado;Aprovado;Aprovado;Aprovado;Aprovado
NC005;Falhou;Aprovado;Aprovado;Aprovado;Aprovado;Falhou
C006;Aprovado;Aprovado;Aprovado;Aprovado;Aprovado;Aprovado
NC006;Aprovado;Aprovado;Falhou;Aprovado;Aprovado;Falhou
C007;Aprovado;Aprovado;Aprovado;Aprovado;Aprovado;Aprovado
NC007;Aprovado;Aprovado;Aprovado;Falhou;Aprovado;Falhou
C008;Aprovado;Aprovado;Aprovado;Aprovado;Aprovado;Aprovado
NC008;Falhou;Falhou;Aprovado;Aprovado;Aprovado;Falhou
C009;Aprovado;Aprovado;Aprovado;Aprovado;Aprovado;Aprovado
NC009;Falhou;Falhou;Aprovado;Aprovado;Aprovado;Falhou
C010;Aprovado;Aprovado;Aprovado;Aprovado;Aprovado;Aprovado
NC010;Falhou;Aprovado;Aprovado;Aprovado;Aprovado;Falhou
C011;Aprovado;Aprovado;Aprovado;Aprovado;Aprovado;Aprovado
NC011;Aprovado;Aprovado;Falhou;Aprovado;Aprovado;Falhou
C012;Aprovado;Aprovado;Aprovado;Aprovado;Aprovado;Aprovado
NC012;Aprovado;Aprovado;Aprovado;Falhou;Aprovado;Falhou
C013;Aprovado;Aprovado;Aprovado;Aprovado;Aprovado;Aprovado
NC013;Falhou;Aprovado;Aprovado;Aprovado;Aprovado;Falhou
C014;Aprovado;Aprovado;Aprovado;Aprovado;Aprovado;Aprovado
NC014;Falhou;Falhou;Aprovado;Aprovado;Aprovado;Falhou
C015;Aprovado;Aprovado;Aprovado;Aprovado;Aprovado;Aprovado
NC015;Aprovado;Aprovado;Aprovado;Aprovado;Falhou;Falhou
