Avaliador;Regra;ID do Caso;Ground Truth;Resultado Avaliador;Tipo
LLM;CKV_FINOPS_02;noncompliant-simple-04;PASSED;FAILED;Falso Positivo (avaliador reprovou indevidamente)
LLM (sem pre-processamento);CKV_FINOPS_01;noncompliant-simple-02;FAILED;PASSED;Falso Negativo (avaliador aprovou indevidamente)
LLM (sem pre-processamento);CKV_FINOPS_02;noncompliant-complex-05;PASSED;FAILED;Falso Positivo (avaliador reprovou indevidamente)
LLM (sem pre-processamento);CKV_FINOPS_02;noncompliant-medium-03;FAILED;N/A;Divergencia de aplicabilidade (N/A)
LLM (sem pre-processamento);CKV_FINOPS_03;compliant-complex-01;PASSED;FAILED;Falso Positivo (avaliador reprovou indevidamente)
LLM (sem pre-processamento);CKV_FINOPS_03;compliant-complex-02;PASSED;FAILED;Falso Positivo (avaliador reprovou indevidamente)
LLM (sem pre-processamento);CKV_FINOPS_03;compliant-complex-03;PASSED;FAILED;Falso Positivo (avaliador reprovou indevidamente)
LLM (sem pre-processamento);CKV_FINOPS_03;compliant-complex-04;PASSED;FAILED;Falso Positivo (avaliador reprovou indevidamente)
LLM (sem pre-processamento);CKV_FINOPS_03;compliant-complex-05;PASSED;FAILED;Falso Positivo (avaliador reprovou indevidamente)
LLM (sem pre-processamento);CKV_FINOPS_03;compliant-medium-01;PASSED;N/A;Divergencia de aplicabilidade (N/A)
LLM (sem pre-processamento);CKV_FINOPS_03;compliant-medium-02;PASSED;N/A;Divergencia de aplicabilidade (N/A)
LLM (sem pre-processamento);CKV_FINOPS_03;compliant-medium-03;PASSED;N/A;Divergencia de aplicabilidade (N/A)
LLM (sem pre-processamento);CKV_FINOPS_03;compliant-medium-04;PASSED;FAILED;Falso Positivo (avaliador reprovou indevidamente)
LLM (sem pre-processamento);CKV_FINOPS_03;compliant-medium-05;PASSED;FAILED;Falso Positivo (avaliador reprovou indevidamente)
LLM (sem pre-processamento);CKV_FINOPS_03;compliant-simple-01;PASSED;N/A;Divergencia de aplicabilidade (N/A)
LLM (sem pre-processamento);CKV_FINOPS_03;compliant-simple-02;PASSED;N/A;Divergencia de aplicabilidade (N/A)
LLM (sem pre-processamento);CKV_FINOPS_03;compliant-simple-03;PASSED;N/A;Divergencia de aplicabilidade (N/A)
LLM (sem pre-processamento);CKV_FINOPS_03;compliant-simple-04;PASSED;N/A;Divergencia de aplicabilidade (N/A)
LLM (sem pre-processamento);CKV_FINOPS_03;compliant-simple-05;PASSED;N/A;Divergencia de aplicabilidade (N/A)
LLM (sem pre-processamento);CKV_FINOPS_03;noncompliant-complex-02;PASSED;FAILED;Falso Positivo (avaliador reprovou indevidamente)
LLM (sem pre-processamento);CKV_FINOPS_03;noncompliant-complex-03;PASSED;FAILED;Falso Positivo (avaliador reprovou indevidamente)
LLM (sem pre-processamento);CKV_FINOPS_03;noncompliant-complex-04;PASSED;FAILED;Falso Positivo (avaliador reprovou indevidamente)
LLM (sem pre-processamento);CKV_FINOPS_03;noncompliant-complex-05;PASSED;FAILED;Falso Positivo (avaliador reprovou indevidamente)
LLM (sem pre-processamento);CKV_FINOPS_03;noncompliant-medium-01;FAILED;N/A;Divergencia de aplicabilidade (N/A)
LLM (sem pre-processamento);CKV_FINOPS_03;noncompliant-medium-02;PASSED;N/A;Divergencia de aplicabilidade (N/A)
LLM (sem pre-processamento);CKV_FINOPS_03;noncompliant-medium-03;PASSED;N/A;Divergencia de aplicabilidade (N/A)
LLM (sem pre-processamento);CKV_FINOPS_03;noncompliant-medium-04;PASSED;N/A;Divergencia de aplicabilidade (N/A)
LLM (sem pre-processamento);CKV_FINOPS_03;noncompliant-medium-05;PASSED;FAILED;Falso Positivo (avaliador reprovou indevidamente)
LLM (sem pre-processamento);CKV_FINOPS_03;noncompliant-simple-01;FAILED;N/A;Divergencia de aplicabilidade (N/A)
LLM (sem pre-processamento);CKV_FINOPS_03;noncompliant-simple-02;PASSED;N/A;Divergencia de aplicabilidade (N/A)
LLM (sem pre-processamento);CKV_FINOPS_03;noncompliant-simple-03;PASSED;N/A;Divergencia de aplicabilidade (N/A)
LLM (sem pre-processamento);CKV_FINOPS_03;noncompliant-simple-04;PASSED;N/A;Divergencia de aplicabilidade (N/A)
LLM (sem pre-processamento);CKV_FINOPS_03;noncompliant-simple-05;PASSED;N/A;Divergencia de aplicabilidade (N/A)
