ID do Caso;Custo Mensal Total ($)
compliant-complex-01;136,435
compliant-complex-02;128,113
compliant-complex-03;136,435
compliant-complex-04;128,113
compliant-complex-05;136,435
compliant-medium-01;47,01
compliant-medium-02;38,688
compliant-medium-03;47,01
compliant-medium-04;38,688
compliant-medium-05;63,435
compliant-simple-01;9,268
compliant-simple-02;29,42
compliant-simple-03;9,268
compliant-simple-04;29,42
compliant-simple-05;17,59
noncompliant-complex-01;157,152
noncompliant-complex-02;189,725
noncompliant-complex-03;136,435
noncompliant-complex-04;128,113
noncompliant-complex-05;361,275
noncompliant-medium-01;50,47
noncompliant-medium-02;100,3
noncompliant-medium-03;47,01
noncompliant-medium-04;38,688
noncompliant-medium-05;63,435
noncompliant-simple-01;9,268
noncompliant-simple-02;29,42
noncompliant-simple-03;9,268
noncompliant-simple-04;254,26
noncompliant-simple-05;17,59
