ID do Caso;CKV_FINOPS_01;CKV_FINOPS_02;CKV_FINOPS_03;CKV_FINOPS_04A;CKV_FINOPS_04B;Veredito Checkov
compliant-complex-01.checkov;PASSED;PASSED;PASSED;PASSED;PASSED;PASSED
compliant-complex-02.checkov;PASSED;PASSED;PASSED;PASSED;PASSED;PASSED
compliant-complex-03.checkov;PASSED;PASSED;PASSED;PASSED;PASSED;PASSED
compliant-complex-04.checkov;PASSED;PASSED;PASSED;PASSED;PASSED;PASSED
compliant-complex-05.checkov;PASSED;PASSED;PASSED;PASSED;PASSED;PASSED
compliant-medium-01.checkov;PASSED;PASSED;PASSED;PASSED;PASSED;PASSED
compliant-medium-02.checkov;PASSED;PASSED;PASSED;PASSED;PASSED;PASSED
compliant-medium-03.checkov;PASSED;PASSED;PASSED;PASSED;PASSED;PASSED
compliant-medium-04.checkov;PASSED;PASSED;PASSED;PASSED;PASSED;PASSED
compliant-medium-05.checkov;PASSED;PASSED;PASSED;PASSED;PASSED;PASSED
compliant-simple-01.checkov;PASSED;PASSED;PASSED;PASSED;N/A;PASSED
compliant-simple-02.checkov;PASSED;PASSED;PASSED;N/A;PASSED;PASSED
compliant-simple-03.checkov;PASSED;PASSED;PASSED;PASSED;N/A;PASSED
compliant-simple-04.checkov;PASSED;PASSED;PASSED;N/A;PASSED;PASSED
compliant-simple-05.checkov;PASSED;PASSED;PASSED;PASSED;N/A;PASSED
noncompliant-complex-01.checkov;PASSED;PASSED;FAILED;PASSED;PASSED;FAILED
noncompliant-complex-02.checkov;PASSED;PASSED;PASSED;FAILED;PASSED;FAILED
noncompliant-complex-03.checkov;FAILED;PASSED;PASSED;PASSED;PASSED;FAILED
noncompliant-complex-04.checkov;PASSED;FAILED;PASSED;PASSED;PASSED;FAILED
noncompliant-complex-05.checkov;PASSED;PASSED;PASSED;PASSED;FAILED;FAILED
noncompliant-medium-01.checkov;PASSED;PASSED;FAILED;PASSED;PASSED;FAILED
noncompliant-medium-02.checkov;PASSED;PASSED;PASSED;FAILED;PASSED;FAILED
noncompliant-medium-03.checkov;FAILED;FAILED;PASSED;PASSED;PASSED;FAILED
noncompliant-medium-04.checkov;PASSED;FAILED;PASSED;PASSED;PASSED;FAILED
noncompliant-medium-05.checkov;FAILED;PASSED;PASSED;PASSED;PASSED;FAILED
noncompliant-simple-01.checkov;PASSED;PASSED;FAILED;PASSED;N/A;FAILED
noncompliant-simple-02.checkov;FAILED;PASSED;PASSED;N/A;PASSED;FAILED
noncompliant-simple-03.checkov;PASSED;FAILED;PASSED;PASSED;N/A;FAILED
noncompliant-simple-04.checkov;PASSED;PASSED;PASSED;N/A;FAILED;FAILED
noncompliant-simple-05.checkov;FAILED;PASSED;PASSED;PASSED;N/A;FAILED
