ID do Caso;CKV_FINOPS_01;CKV_FINOPS_02;CKV_FINOPS_03;CKV_FINOPS_04A;CKV_FINOPS_04B;Veredito LLM
compliant-complex-01;PASSED;PASSED;PASSED;PASSED;PASSED;PASSED
compliant-complex-02;PASSED;PASSED;PASSED;PASSED;PASSED;PASSED
compliant-complex-03;PASSED;PASSED;PASSED;PASSED;PASSED;PASSED
compliant-complex-04;PASSED;PASSED;PASSED;PASSED;PASSED;PASSED
compliant-complex-05;PASSED;PASSED;PASSED;PASSED;PASSED;PASSED
compliant-medium-01;PASSED;PASSED;PASSED;PASSED;PASSED;PASSED
compliant-medium-02;PASSED;PASSED;PASSED;PASSED;PASSED;PASSED
compliant-medium-03;PASSED;PASSED;PASSED;PASSED;PASSED;PASSED
compliant-medium-04;PASSED;PASSED;PASSED;PASSED;PASSED;PASSED
compliant-medium-05;PASSED;PASSED;PASSED;PASSED;PASSED;PASSED
compliant-simple-01;PASSED;PASSED;PASSED;PASSED;N/A;PASSED
compliant-simple-02;PASSED;PASSED;PASSED;N/A;PASSED;PASSED
compliant-simple-03;PASSED;PASSED;N/A;PASSED;N/A;PASSED
compliant-simple-04;PASSED;PASSED;PASSED;N/A;PASSED;PASSED
compliant-simple-05;PASSED;PASSED;PASSED;PASSED;N/A;PASSED
noncompliant-complex-01;PASSED;PASSED;FAILED;PASSED;PASSED;FAILED
noncompliant-complex-02;PASSED;PASSED;PASSED;FAILED;PASSED;FAILED
noncompliant-complex-03;FAILED;PASSED;PASSED;PASSED;PASSED;FAILED
noncompliant-complex-04;PASSED;FAILED;PASSED;PASSED;PASSED;FAILED
noncompliant-complex-05;PASSED;FAILED;PASSED;PASSED;FAILED;FAILED
noncompliant-medium-01;PASSED;PASSED;FAILED;PASSED;PASSED;FAILED
noncompliant-medium-02;PASSED;PASSED;PASSED;FAILED;PASSED;FAILED
noncompliant-medium-03;FAILED;FAILED;PASSED;PASSED;PASSED;FAILED
noncompliant-medium-04;PASSED;FAILED;PASSED;PASSED;PASSED;FAILED
noncompliant-medium-05;FAILED;PASSED;PASSED;PASSED;PASSED;FAILED
noncompliant-simple-01;PASSED;PASSED;FAILED;PASSED;N/A;FAILED
noncompliant-simple-02;PASSED;PASSED;PASSED;N/A;PASSED;PASSED
noncompliant-simple-03;PASSED;FAILED;PASSED;PASSED;N/A;FAILED
noncompliant-simple-04;PASSED;FAILED;PASSED;N/A;FAILED;FAILED
noncompliant-simple-05;FAILED;PASSED;PASSED;PASSED;N/A;FAILED
