ID do Caso;CKV_FINOPS_01;CKV_FINOPS_02;CKV_FINOPS_03;CKV_FINOPS_04A;CKV_FINOPS_04B;Veredito LLM
compliant-complex-01;PASSED;PASSED;FAILED;PASSED;PASSED;FAILED
compliant-complex-02;PASSED;PASSED;FAILED;PASSED;PASSED;FAILED
compliant-complex-03;PASSED;PASSED;FAILED;PASSED;PASSED;FAILED
compliant-complex-04;PASSED;PASSED;FAILED;PASSED;PASSED;FAILED
compliant-complex-05;PASSED;PASSED;FAILED;PASSED;PASSED;FAILED
compliant-medium-01;PASSED;PASSED;N/A;PASSED;PASSED;PASSED
compliant-medium-02;PASSED;PASSED;N/A;PASSED;PASSED;PASSED
compliant-medium-03;PASSED;PASSED;N/A;PASSED;PASSED;PASSED
compliant-medium-04;PASSED;PASSED;FAILED;PASSED;PASSED;FAILED
compliant-medium-05;PASSED;PASSED;FAILED;PASSED;PASSED;FAILED
compliant-simple-01;PASSED;PASSED;N/A;PASSED;N/A;PASSED
compliant-simple-02;PASSED;PASSED;N/A;N/A;PASSED;PASSED
compliant-simple-03;PASSED;PASSED;N/A;PASSED;N/A;PASSED
compliant-simple-04;PASSED;PASSED;N/A;N/A;PASSED;PASSED
compliant-simple-05;PASSED;PASSED;N/A;PASSED;N/A;PASSED
noncompliant-complex-01;PASSED;PASSED;FAILED;PASSED;PASSED;FAILED
noncompliant-complex-02;PASSED;PASSED;FAILED;FAILED;PASSED;FAILED
noncompliant-complex-03;FAILED;PASSED;FAILED;PASSED;PASSED;FAILED
noncompliant-complex-04;PASSED;FAILED;FAILED;PASSED;PASSED;FAILED
noncompliant-complex-05;PASSED;FAILED;FAILED;PASSED;FAILED;FAILED
noncompliant-medium-01;PASSED;PASSED;N/A;PASSED;PASSED;PASSED
noncompliant-medium-02;PASSED;PASSED;N/A;FAILED;PASSED;FAILED
noncompliant-medium-03;FAILED;N/A;N/A;PASSED;PASSED;FAILED
noncompliant-medium-04;PASSED;FAILED;N/A;PASSED;PASSED;FAILED
noncompliant-medium-05;FAILED;PASSED;FAILED;PASSED;PASSED;FAILED
noncompliant-simple-01;PASSED;PASSED;N/A;PASSED;N/A;PASSED
noncompliant-simple-02;PASSED;PASSED;N/A;N/A;PASSED;PASSED
noncompliant-simple-03;PASSED;FAILED;N/A;PASSED;N/A;FAILED
noncompliant-simple-04;PASSED;PASSED;N/A;N/A;FAILED;FAILED
noncompliant-simple-05;FAILED;PASSED;N/A;PASSED;N/A;FAILED
