Avaliador;Regra;TP;FP;FN;TN;Divergencias N/A;Precision;Recall;F1;Accuracy
Checkov;CKV_FINOPS_01;5;0;0;25;0;1.000;1.000;1.000;1.000
Checkov;CKV_FINOPS_02;4;0;0;26;0;1.000;1.000;1.000;1.000
Checkov;CKV_FINOPS_03;3;0;0;27;0;1.000;1.000;1.000;1.000
Checkov;CKV_FINOPS_04A;2;0;0;24;0;1.000;1.000;1.000;1.000
Checkov;CKV_FINOPS_04B;2;0;0;22;0;1.000;1.000;1.000;1.000
Checkov;TODAS (micro-media);16;0;0;124;0;1.000;1.000;1.000;1.000
LLM;CKV_FINOPS_01;5;0;0;25;0;1.000;1.000;1.000;1.000
LLM;CKV_FINOPS_02;4;0;0;26;0;1.000;1.000;1.000;1.000
LLM;CKV_FINOPS_03;3;0;0;27;0;1.000;1.000;1.000;1.000
LLM;CKV_FINOPS_04A;2;0;0;24;0;1.000;1.000;1.000;1.000
LLM;CKV_FINOPS_04B;2;0;0;22;0;1.000;1.000;1.000;1.000
LLM;TODAS (micro-media);16;0;0;124;0;1.000;1.000;1.000;1.000
LLM (sem pre-processamento);CKV_FINOPS_01;4;0;1;25;0;1.000;0.800;0.889;0.967
LLM (sem pre-processamento);CKV_FINOPS_02;3;1;0;25;1;0.750;1.000;0.857;0.966
LLM (sem pre-processamento);CKV_FINOPS_03;1;12;0;0;17;0.077;1.000;0.143;0.077
LLM (sem pre-processamento);CKV_FINOPS_04A;2;0;0;24;0;1.000;1.000;1.000;1.000
LLM (sem pre-processamento);CKV_FINOPS_04B;2;0;0;22;0;1.000;1.000;1.000;1.000
LLM (sem pre-processamento);TODAS (micro-media);12;13;1;96;18;0.480;0.923;0.632;0.885
